"l1","l2","a11","a12","a21","a22","N1","N2"
10,10,0.1,0.1,0.1,0.1,0,0
11,10,0.1,0.1,0.1,0.1,0,90
12,10,0.1,0.1,0.1,0.1,0,90
13,10,0.1,0.1,0.1,0.1,0,90
14,10,0.1,0.1,0.1,0.1,0,90
15,10,0.1,0.1,0.1,0.1,0,90
16,10,0.1,0.1,0.1,0.1,0,90
17,10,0.1,0.1,0.1,0.1,0,90
18,10,0.1,0.1,0.1,0.1,0,90
19,10,0.1,0.1,0.1,0.1,0,90
20,10,0.1,0.1,0.1,0.1,0,90
10,11,0.1,0.1,0.1,0.1,90,0
11,11,0.1,0.1,0.1,0.1,0,0
12,11,0.1,0.1,0.1,0.1,0,100
13,11,0.1,0.1,0.1,0.1,0,100
14,11,0.1,0.1,0.1,0.1,0,100
15,11,0.1,0.1,0.1,0.1,0,100
16,11,0.1,0.1,0.1,0.1,0,100
17,11,0.1,0.1,0.1,0.1,0,100
18,11,0.1,0.1,0.1,0.1,0,100
19,11,0.1,0.1,0.1,0.1,0,100
20,11,0.1,0.1,0.1,0.1,0,100
10,12,0.1,0.1,0.1,0.1,90,0
11,12,0.1,0.1,0.1,0.1,100,0
12,12,0.1,0.1,0.1,0.1,0,0
13,12,0.1,0.1,0.1,0.1,0,110
14,12,0.1,0.1,0.1,0.1,0,110
15,12,0.1,0.1,0.1,0.1,0,110
16,12,0.1,0.1,0.1,0.1,0,110
17,12,0.1,0.1,0.1,0.1,0,110
18,12,0.1,0.1,0.1,0.1,0,110
19,12,0.1,0.1,0.1,0.1,0,110
20,12,0.1,0.1,0.1,0.1,0,110
10,13,0.1,0.1,0.1,0.1,90,0
11,13,0.1,0.1,0.1,0.1,100,0
12,13,0.1,0.1,0.1,0.1,110,0
13,13,0.1,0.1,0.1,0.1,0,0
14,13,0.1,0.1,0.1,0.1,0,120
15,13,0.1,0.1,0.1,0.1,0,120
16,13,0.1,0.1,0.1,0.1,0,120
17,13,0.1,0.1,0.1,0.1,0,120
18,13,0.1,0.1,0.1,0.1,0,120
19,13,0.1,0.1,0.1,0.1,0,120
20,13,0.1,0.1,0.1,0.1,0,120
10,14,0.1,0.1,0.1,0.1,90,0
11,14,0.1,0.1,0.1,0.1,100,0
12,14,0.1,0.1,0.1,0.1,110,0
13,14,0.1,0.1,0.1,0.1,120,0
14,14,0.1,0.1,0.1,0.1,0,0
15,14,0.1,0.1,0.1,0.1,0,130
16,14,0.1,0.1,0.1,0.1,0,130
17,14,0.1,0.1,0.1,0.1,0,130
18,14,0.1,0.1,0.1,0.1,0,130
19,14,0.1,0.1,0.1,0.1,0,130
20,14,0.1,0.1,0.1,0.1,0,130
10,15,0.1,0.1,0.1,0.1,90,0
11,15,0.1,0.1,0.1,0.1,100,0
12,15,0.1,0.1,0.1,0.1,110,0
13,15,0.1,0.1,0.1,0.1,120,0
14,15,0.1,0.1,0.1,0.1,130,0
15,15,0.1,0.1,0.1,0.1,0,0
16,15,0.1,0.1,0.1,0.1,0,140
17,15,0.1,0.1,0.1,0.1,0,140
18,15,0.1,0.1,0.1,0.1,0,140
19,15,0.1,0.1,0.1,0.1,0,140
20,15,0.1,0.1,0.1,0.1,0,140
10,16,0.1,0.1,0.1,0.1,90,0
11,16,0.1,0.1,0.1,0.1,100,0
12,16,0.1,0.1,0.1,0.1,110,0
13,16,0.1,0.1,0.1,0.1,120,0
14,16,0.1,0.1,0.1,0.1,130,0
15,16,0.1,0.1,0.1,0.1,140,0
16,16,0.1,0.1,0.1,0.1,0,0
17,16,0.1,0.1,0.1,0.1,0,150
18,16,0.1,0.1,0.1,0.1,0,150
19,16,0.1,0.1,0.1,0.1,0,150
20,16,0.1,0.1,0.1,0.1,0,150
10,17,0.1,0.1,0.1,0.1,90,0
11,17,0.1,0.1,0.1,0.1,100,0
12,17,0.1,0.1,0.1,0.1,110,0
13,17,0.1,0.1,0.1,0.1,120,0
14,17,0.1,0.1,0.1,0.1,130,0
15,17,0.1,0.1,0.1,0.1,140,0
16,17,0.1,0.1,0.1,0.1,150,0
17,17,0.1,0.1,0.1,0.1,0,0
18,17,0.1,0.1,0.1,0.1,0,160
19,17,0.1,0.1,0.1,0.1,0,160
20,17,0.1,0.1,0.1,0.1,0,160
10,18,0.1,0.1,0.1,0.1,90,0
11,18,0.1,0.1,0.1,0.1,100,0
12,18,0.1,0.1,0.1,0.1,110,0
13,18,0.1,0.1,0.1,0.1,120,0
14,18,0.1,0.1,0.1,0.1,130,0
15,18,0.1,0.1,0.1,0.1,140,0
16,18,0.1,0.1,0.1,0.1,150,0
17,18,0.1,0.1,0.1,0.1,160,0
18,18,0.1,0.1,0.1,0.1,0,0
19,18,0.1,0.1,0.1,0.1,0,170
20,18,0.1,0.1,0.1,0.1,0,170
10,19,0.1,0.1,0.1,0.1,90,0
11,19,0.1,0.1,0.1,0.1,100,0
12,19,0.1,0.1,0.1,0.1,110,0
13,19,0.1,0.1,0.1,0.1,120,0
14,19,0.1,0.1,0.1,0.1,130,0
15,19,0.1,0.1,0.1,0.1,140,0
16,19,0.1,0.1,0.1,0.1,150,0
17,19,0.1,0.1,0.1,0.1,160,0
18,19,0.1,0.1,0.1,0.1,170,0
19,19,0.1,0.1,0.1,0.1,0,0
20,19,0.1,0.1,0.1,0.1,0,180
10,20,0.1,0.1,0.1,0.1,90,0
11,20,0.1,0.1,0.1,0.1,100,0
12,20,0.1,0.1,0.1,0.1,110,0
13,20,0.1,0.1,0.1,0.1,120,0
14,20,0.1,0.1,0.1,0.1,130,0
15,20,0.1,0.1,0.1,0.1,140,0
16,20,0.1,0.1,0.1,0.1,150,0
17,20,0.1,0.1,0.1,0.1,160,0
18,20,0.1,0.1,0.1,0.1,170,0
19,20,0.1,0.1,0.1,0.1,180,0
20,20,0.1,0.1,0.1,0.1,0,0
10,10,0.3,0.1,0.1,0.1,0,90
11,10,0.3,0.1,0.1,0.1,5,85
12,10,0.3,0.1,0.1,0.1,10,80
13,10,0.3,0.1,0.1,0.1,15,75
14,10,0.3,0.1,0.1,0.1,20,70
15,10,0.3,0.1,0.1,0.1,25,65
16,10,0.3,0.1,0.1,0.1,30,60
17,10,0.3,0.1,0.1,0.1,35,55
18,10,0.3,0.1,0.1,0.1,40,50
19,10,0.3,0.1,0.1,0.1,45,45
20,10,0.3,0.1,0.1,0.1,50,40
10,11,0.3,0.1,0.1,0.1,0,100
11,11,0.3,0.1,0.1,0.1,0,100
12,11,0.3,0.1,0.1,0.1,5,95
13,11,0.3,0.1,0.1,0.1,10,90
14,11,0.3,0.1,0.1,0.1,15,85
15,11,0.3,0.1,0.1,0.1,20,80
16,11,0.3,0.1,0.1,0.1,25,75
17,11,0.3,0.1,0.1,0.1,30,70
18,11,0.3,0.1,0.1,0.1,35,65
19,11,0.3,0.1,0.1,0.1,40,60
20,11,0.3,0.1,0.1,0.1,45,55
10,12,0.3,0.1,0.1,0.1,0,110
11,12,0.3,0.1,0.1,0.1,0,110
12,12,0.3,0.1,0.1,0.1,0,110
13,12,0.3,0.1,0.1,0.1,5,105
14,12,0.3,0.1,0.1,0.1,10,100
15,12,0.3,0.1,0.1,0.1,15,95
16,12,0.3,0.1,0.1,0.1,20,90
17,12,0.3,0.1,0.1,0.1,25,85
18,12,0.3,0.1,0.1,0.1,30,80
19,12,0.3,0.1,0.1,0.1,35,75
20,12,0.3,0.1,0.1,0.1,40,70
10,13,0.3,0.1,0.1,0.1,0,120
11,13,0.3,0.1,0.1,0.1,0,120
12,13,0.3,0.1,0.1,0.1,0,120
13,13,0.3,0.1,0.1,0.1,0,120
14,13,0.3,0.1,0.1,0.1,5,115
15,13,0.3,0.1,0.1,0.1,10,110
16,13,0.3,0.1,0.1,0.1,15,105
17,13,0.3,0.1,0.1,0.1,20,100
18,13,0.3,0.1,0.1,0.1,25,95
19,13,0.3,0.1,0.1,0.1,30,90
20,13,0.3,0.1,0.1,0.1,35,85
10,14,0.3,0.1,0.1,0.1,0,130
11,14,0.3,0.1,0.1,0.1,0,130
12,14,0.3,0.1,0.1,0.1,0,130
13,14,0.3,0.1,0.1,0.1,0,130
14,14,0.3,0.1,0.1,0.1,0,130
15,14,0.3,0.1,0.1,0.1,5,125
16,14,0.3,0.1,0.1,0.1,10,120
17,14,0.3,0.1,0.1,0.1,15,115
18,14,0.3,0.1,0.1,0.1,20,110
19,14,0.3,0.1,0.1,0.1,25,105
20,14,0.3,0.1,0.1,0.1,30,100
10,15,0.3,0.1,0.1,0.1,0,140
11,15,0.3,0.1,0.1,0.1,0,140
12,15,0.3,0.1,0.1,0.1,0,140
13,15,0.3,0.1,0.1,0.1,0,140
14,15,0.3,0.1,0.1,0.1,0,140
15,15,0.3,0.1,0.1,0.1,0,140
16,15,0.3,0.1,0.1,0.1,5,135
17,15,0.3,0.1,0.1,0.1,10,130
18,15,0.3,0.1,0.1,0.1,15,125
19,15,0.3,0.1,0.1,0.1,20,120
20,15,0.3,0.1,0.1,0.1,25,115
10,16,0.3,0.1,0.1,0.1,0,150
11,16,0.3,0.1,0.1,0.1,0,150
12,16,0.3,0.1,0.1,0.1,0,150
13,16,0.3,0.1,0.1,0.1,0,150
14,16,0.3,0.1,0.1,0.1,0,150
15,16,0.3,0.1,0.1,0.1,0,150
16,16,0.3,0.1,0.1,0.1,0,150
17,16,0.3,0.1,0.1,0.1,5,145
18,16,0.3,0.1,0.1,0.1,10,140
19,16,0.3,0.1,0.1,0.1,15,135
20,16,0.3,0.1,0.1,0.1,20,130
10,17,0.3,0.1,0.1,0.1,0,160
11,17,0.3,0.1,0.1,0.1,0,160
12,17,0.3,0.1,0.1,0.1,0,160
13,17,0.3,0.1,0.1,0.1,0,160
14,17,0.3,0.1,0.1,0.1,0,160
15,17,0.3,0.1,0.1,0.1,0,160
16,17,0.3,0.1,0.1,0.1,0,160
17,17,0.3,0.1,0.1,0.1,0,160
18,17,0.3,0.1,0.1,0.1,5,155
19,17,0.3,0.1,0.1,0.1,10,150
20,17,0.3,0.1,0.1,0.1,15,145
10,18,0.3,0.1,0.1,0.1,0,170
