"ID","l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rank","CoexistRank","Asy","cor","Rare"
62,16,15,0.10,0.10,0.10,0.10,0.00,140.00,1.06,1.00,0.93,1.00,2,0,0.00,0.00,0.00
63,17,15,0.10,0.10,0.10,0.10,0.00,140.00,1.13,1.00,0.88,1.00,2,0,0.00,0.00,0.00
64,18,15,0.10,0.10,0.10,0.10,0.00,140.00,1.20,1.00,0.83,1.00,2,0,0.00,0.00,0.00
65,19,15,0.10,0.10,0.10,0.10,0.00,140.00,1.26,1.00,0.78,1.00,2,0,0.00,0.00,0.00
66,20,15,0.10,0.10,0.10,0.10,0.00,140.00,1.33,1.00,0.75,1.00,2,0,0.00,0.00,0.00
74,17,16,0.10,0.10,0.10,0.10,0.00,150.00,1.06,1.00,0.94,1.00,2,0,0.00,0.00,0.00
75,18,16,0.10,0.10,0.10,0.10,0.00,150.00,1.12,1.00,0.88,1.00,2,0,0.00,0.00,0.00
76,19,16,0.10,0.10,0.10,0.10,0.00,150.00,1.18,1.00,0.84,1.00,2,0,0.00,0.00,0.00
77,20,16,0.10,0.10,0.10,0.10,0.00,150.00,1.25,1.00,0.80,1.00,2,0,0.00,0.00,0.00
86,18,17,0.10,0.10,0.10,0.10,0.00,160.00,1.05,1.00,0.94,1.00,2,0,0.00,0.00,0.00
87,19,17,0.10,0.10,0.10,0.10,0.00,160.00,1.11,1.00,0.89,1.00,2,0,0.00,0.00,0.00
88,20,17,0.10,0.10,0.10,0.10,0.00,160.00,1.17,1.00,0.85,1.00,2,0,0.00,0.00,0.00
98,19,18,0.10,0.10,0.10,0.10,0.00,170.00,1.05,1.00,0.94,1.00,2,0,0.00,0.00,0.00
99,20,18,0.10,0.10,0.10,0.10,0.00,170.00,1.11,1.00,0.90,1.00,2,0,0.00,0.00,0.00
110,20,19,0.10,0.10,0.10,0.10,0.00,180.00,1.05,1.00,0.95,1.00,2,0,0.00,0.00,0.00
182,15,15,0.30,0.10,0.10,0.10,0.00,140.00,1.00,1.00,1.00,2.64,2,0,-1.64,114.80,0.00
183,16,15,0.30,0.10,0.10,0.10,5.00,135.00,1.06,1.00,0.93,2.66,2,1,-1.66,107.90,0.03
