"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
19,17,2,0.3,0.3,0.9,6.66,15.55,1.11,2.68,0.89,5.13,0.29,-2.45,10.89,6.16158101842581,6.25655034324943,15.2943772234343,15.3792576188970,0.606595292349677,0.731632105390283,192.1165,141,192.278778778779,141,30,30,0.999,0.001
20,17,2,0.3,0.3,0.9,7.19,15.38,1.17,2.68,0.85,5.19,0.31,-2.51,10.27,6.70062456345879,6.81002161182376,15.1717443941364,15.2394246879648,0.594791004749676,0.652127981873964,312.0735,214.5,312.324824824825,215,61,61,0.999,0.001
11,18,2,0.3,0.3,0.9,2.28,18.12,0.61,2.7,1.63,4.4,0.11,-1.7,13.46,2.92593974039756,2.85714285714286,15.3668305449945,15.6770833333333,0.642771215320446,2.10351939284408,11.1705,9,11.1705,9,NaN,NA,1,0
12,18,2,0.3,0.3,0.9,2.8,17.95,0.66,2.7,1.5,4.52,0.13,-1.82,13.78,3.1310620306014,3.11111111111111,15.6143028560473,16,0.663391946639749,1.97874252506091,14.077,11,14.077,11,NaN,NA,1,0
13,18,2,0.3,0.3,0.9,3.33,17.77,0.72,2.7,1.38,4.64,0.15,-1.94,14,3.39304970623756,3.4,15.9553348403940,16.2962962962963,0.688361462273854,1.82014130304063,18.1905,14,18.1905,14,NaN,NA,1,0
14,18,2,0.3,0.3,0.9,3.85,17.6,0.77,2.7,1.28,4.74,0.17,-2.04,14.02,3.69198090755914,3.72222222222222,16.0239188489876,16.4,0.724733574880591,1.71820828738058,23.46,17,23.46,17,NaN,NA,1,0
15,18,2,0.3,0.3,0.9,4.38,17.42,0.83,2.7,1.2,4.83,0.2,-2.13,13.88,4.07661959630324,4.14285714285714,16.3240454113414,16.5454545454545,0.74328596921724,1.43864606382218,31.917,24,31.917,24,NaN,NA,1,0
16,18,2,0.3,0.3,0.9,4.91,17.25,0.88,2.7,1.12,4.92,0.22,-2.22,13.69,4.49084451194003,4.55907278165503,16.4016217031502,16.6207912457912,0.720062868852001,1.23876732910941,47.3155,34,47.3155,34,NaN,NA,1,0
17,18,2,0.3,0.3,0.9,5.43,17.07,0.94,2.7,1.05,5,0.24,-2.3,13.38,4.93698108547752,5.03115151515152,16.4402641534275,16.6383948928409,0.739646933739036,1.14885138506895,68.7585,49,68.7585,49,NaN,NA,1,0
18,18,2,0.3,0.3,0.9,5.96,16.9,1,2.7,1,5.07,0.26,-2.37,12.96,5.42049816677874,5.52859477124183,16.4528131110417,16.6132675438596,0.687967742545567,1.01896447572642,101.5335,71,101.5335,71,NaN,NA,1,0
