"l1","l2","a12","a21","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
10,10,0.1,0.1,7.92436790621843,7.95437731929335,7.92156560882733,7.96241505746078,0.37174160187939,0.360682092098076,843.7375,586.5,863.140546006067,607,824.756676557864,567,0.4945,0.5055
10,11,0.1,0.1,7.79985252797748,7.84453530981233,8.97850314039036,8.99629637247911,0.385299577241084,0.336290283302709,1101.054,761.5,1107.53661697991,758,1079.16630196937,762,0.7715,0.2285
11,11,0.1,0.1,8.82727296684748,8.88306364765743,8.86240286760596,8.89296320088707,0.440672631465866,0.330294166372851,Inf,1394.5,1970.3512145749,1411,1882.2527693857,1325,0.494,0.4965
10,12,0.1,0.1,7.67407207104679,7.72382336554998,9.9999306986066,10.0382209345807,0.416285877026768,0.407201165369915,1013.4595,702,1018.93977211069,702,949.127388535032,676,0.9215,0.0785
11,12,0.1,0.1,8.74488672735798,8.76735160296928,9.90310180893094,9.92449372038782,0.277606465560028,0.280129423824586,Inf,1789,2365.34687298517,1724,2531.56354916067,1865,0.7755,0.2085
12,12,0.1,0.1,9.80689172022213,9.81524941941787,9.80322888966856,9.81467042024792,0.206535936089477,0.164816434917863,Inf,3740.5,3590.71022727273,3106,3531.06280193237,2943,0.44,0.414
10,13,0.1,0.1,7.5444752507636,7.60528206778207,11.0427019728369,11.0602599450828,0.405736458366378,0.335401135853715,958.992,678,959.622313203685,680.5,932.217391304348,599,0.977,0.023
11,13,0.1,0.1,8.62828848846125,8.6560083063663,10.9467334643400,10.9578891039174,0.261780084329644,0.202262883559879,Inf,1853.5,2486.91908482143,1810,2329.87974683544,1564,0.896,0.079
12,13,0.1,0.1,9.68627764653962,9.69462714711721,10.8401172296400,10.8438086356654,0.146901071459385,0.131645850554228,Inf,4637.5,3808.07787903894,3277,3835.33615819209,3317,0.6035,0.177
13,13,0.1,0.1,10.7323564323226,10.7351044047539,10.7295011713097,10.7339266073393,0.0927220541173884,0.091665461660239,Inf,8549,4360.51162790698,3823,4299.66488413547,3917,0.2795,0.2805
10,14,0.1,0.1,7.4222927776606,7.48632206208426,12.0660983256681,12.0808201769015,0.415347924071421,0.348589310797056,826.2795,600,827.368341708543,600.5,609.6,528,0.995,0.005
11,14,0.1,0.1,8.51391910299176,8.54286703156708,11.9662961096060,11.9823031991871,0.253230623539011,0.235926723451748,Inf,1641,2177.54711087975,1603,1967.92857142857,1186.5,0.9605,0.021
12,14,0.1,0.1,9.57122844741557,9.58459048094564,11.8599384628568,11.8728127187281,0.154260505398377,0.2325258882021,Inf,4561,3712.11335187761,3242,4055.40495867769,3899,0.719,0.0605
