"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor"
12,11,0.30,0.10,0.10,0.10,5.00,95.00,1.09,1.00,0.91,2.57,0.05,-1.57,70.65
13,11,0.30,0.10,0.10,0.10,10.00,90.00,1.18,1.00,0.84,2.60,0.10,-1.60,64.00
14,11,0.30,0.10,0.10,0.10,15.00,85.00,1.27,1.00,0.78,2.62,0.15,-1.62,56.70
15,11,0.30,0.10,0.10,0.10,20.00,80.00,1.36,1.00,0.73,2.64,0.20,-1.64,49.20
16,11,0.30,0.10,0.10,0.10,25.00,75.00,1.45,1.00,0.68,2.66,0.25,-1.66,41.50
17,11,0.30,0.10,0.10,0.10,30.00,70.00,1.54,1.00,0.64,2.68,0.30,-1.68,33.60
13,12,0.30,0.10,0.10,0.10,5.00,105.00,1.08,1.00,0.92,2.60,0.04,-1.60,80.00
14,12,0.30,0.10,0.10,0.10,10.00,100.00,1.16,1.00,0.85,2.62,0.09,-1.62,72.90
15,12,0.30,0.10,0.10,0.10,15.00,95.00,1.25,1.00,0.80,2.64,0.13,-1.64,65.60
16,12,0.30,0.10,0.10,0.10,20.00,90.00,1.33,1.00,0.75,2.66,0.18,-1.66,58.10
17,12,0.30,0.10,0.10,0.10,25.00,85.00,1.41,1.00,0.70,2.68,0.22,-1.68,50.40
18,12,0.30,0.10,0.10,0.10,30.00,80.00,1.50,1.00,0.66,2.70,0.27,-1.70,42.50
19,12,0.30,0.10,0.10,0.10,35.00,75.00,1.58,1.00,0.63,2.71,0.31,-1.71,34.20
14,13,0.30,0.10,0.10,0.10,5.00,115.00,1.07,1.00,0.92,2.62,0.04,-1.62,89.10
15,13,0.30,0.10,0.10,0.10,10.00,110.00,1.15,1.00,0.86,2.64,0.08,-1.64,82.00
16,13,0.30,0.10,0.10,0.10,15.00,105.00,1.23,1.00,0.81,2.66,0.12,-1.66,74.70
17,13,0.30,0.10,0.10,0.10,20.00,100.00,1.30,1.00,0.76,2.68,0.16,-1.68,67.20
18,13,0.30,0.10,0.10,0.10,25.00,95.00,1.38,1.00,0.72,2.70,0.20,-1.70,59.50
19,13,0.30,0.10,0.10,0.10,30.00,90.00,1.46,1.00,0.68,2.71,0.25,-1.71,51.30
20,13,0.30,0.10,0.10,0.10,35.00,85.00,1.53,1.00,0.65,2.72,0.29,-1.72,43.00
15,14,0.30,0.10,0.10,0.10,5.00,125.00,1.07,1.00,0.93,2.64,0.03,-1.64,98.40
16,14,0.30,0.10,0.10,0.10,10.00,120.00,1.14,1.00,0.87,2.66,0.07,-1.66,91.30
17,14,0.30,0.10,0.10,0.10,15.00,115.00,1.21,1.00,0.82,2.68,0.11,-1.68,84.00
18,14,0.30,0.10,0.10,0.10,20.00,110.00,1.28,1.00,0.77,2.70,0.15,-1.70,76.50
19,14,0.30,0.10,0.10,0.10,25.00,105.00,1.35,1.00,0.73,2.71,0.19,-1.71,68.40
20,14,0.30,0.10,0.10,0.10,30.00,100.00,1.42,1.00,0.70,2.72,0.23,-1.72,60.20
